Id,Name,Name_c,Description,Grade,Add,Zipcode,Region,Town,Tel,Fax,Gov,Website,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Px,Py,Class,Map,Spec,Serviceinfo,Parkinginfo,TotalNumberofRooms,LowestPrice,CeilingPrice,TaiwanHost,IndustryEmail,TotalNumberofPeople,AccessibilityRooms,PublicToilets,LiftingEquipment,ParkingSpace
E4_A15010000H_000008,Siyuan Ju Homestay,思源居民宿,Bed and Breakfast in Nantou County,,"No.1, Shuitou Rd., Puli Township, Nantou County 545, Taiwan (R.O.C.)",545,Nantou County,Puli Township,886-49-2927101,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/15545.jpg?v=20250510,,,,,,120.970365,23.935199,4,,,"Wi-Fi,,,,,Bike friendly accommodation",Parking Space:Car 0、Motorcycle 0、Truck 0,3,2200,3600,0,sss050021@yahoo.com.tw,10,0,,,0
E4_A15010000H_000015,Kai Shen Sinsu Hotel,凱旋新宿商旅,"This business hotel is located in the center of Taitung City, close to Tiehua Village and Taitung City Center business district. It has a flat parking lot (about a 3-minute walk). It is a good choice for leisure and business trips in Taitung.",,"No.243, Fujian Rd., Taitung City, Taitung County 950, Taiwan (R.O.C.)",950,Taitung County,Taitung City,886-89-311777,886-89-311277,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/9215.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/15213.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/23377.jpg?v=20250510,,121.151586,22.751471,3,,,"restaurant,Wi-Fi,National travel card,parking lot,,,,post and telecommunications service,business travel center,bicycle rental,AED,,,Bike friendly accommodation",Parking Space:Car 0、Motorcycle 0、Truck 0,40,4500,8000,0,,104,0,,,0
E4_A15010000H_000018,Guan Guan Home Bed and breakfast,觀關嚮戶民宿,Homestay located in Taitung,,"No.28, Bade Rd., Guanshan Township, Taitung County 956, Taiwan (R.O.C.)",956,Taitung County,Guanshan Township,886-988-627798,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/286380.jpeg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/286382.jpeg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/286381.jpeg?v=20250510,,121.16198,23.05247,4,,,"Wi-Fi,,,,bicycle rental,,,Bike friendly accommodation",Parking Space:Car 0、Motorcycle 0、Truck 0,4,4000,6000,0,hylovefamily@gmail.com,12,0,0,0,0
E4_A15010000H_000019,Kepler Bed and Breakfast,克卜勒民宿,"A simple, two-story building with a gray and concrete powder. The room is also clean and gray wall. Simple and elegant style of IKEA furniture in the room Together with the four seasons of the central mountain range outside the French window is the most beautiful picture.We hope to make this natural and simple life better. Let the travellers come to Kepler Homestay Easy and enjoy it",,"No.20, Ln. 112, Long 3rd Rd., Luye Township, Taitung County 955, Taiwan (R.O.C.)",955,Taitung County,Luye Township,886-89-551891,,A15010000H,https://www.facebook.com/Kepler2016/?ref=aymt_homepage_panel&amp;eid=ARDh6FM8mESba_ulOBGJxMwpHyQl3LWJAD8ca6cTVYDrYD017IVsuyEwtO65TobGzOyc_NqhKSqNf8mS,https://taiwan.taiwanstay.net.tw/twpic/78797.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/91287.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/91295.jpg?v=20250510,,121.127894,22.904173,4,,,"Wi-Fi,,,,pick-up service,,",Parking Space:Car 0、Motorcycle 0、Truck 0,3,4500,5200,0,jackoo716@yahoo.com.tw,11,0,0,0,0
E4_A15010000H_000020,Woo Shiba House,柴柴屋,"Bed and Breakfast in Yilan – Woo Shiba House, located in Luodong interchange at five minutes from us. Since from 2014, we built our dream of B&B house with a dog (Shiba inu, black color) to invite you to play & live for a while in Yilan. Welcome to make reservation via call cell phone no. 0922712730 (Ms. Jean) or email to jeanlee0905@gmail.com",,"Aly. 5, Ln. 559, Sec. 2, Wujie Central Rd., Wujie Township, Yilan County 268, Taiwan (R.O.C.)",268,Yilan County,Wujie Township,886-3-9507195,,A15010000H,http://www.shibabnb.tw,https://taiwan.taiwanstay.net.tw/twpic/32539.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/49546.jpg?v=20250510,,,,121.79762,24.685754,4,,Suite3000;Suite3000;,"Wi-Fi,parking lot,,,,pet friendly hotel,,,Bike friendly accommodation",Parking Space:Car 1、Motorcycle 1、Truck 0,3,3000,3600,0,jeanlee0905@gmail.com,13,0,0,0,2
E4_A15010000H_000021,Tilburg Hall,蒂爾堡會館,Homestay located in Nantou,,"No.55, Qingtian 1st St., Puli Township, Nantou County 545, Taiwan (R.O.C.)",545,Nantou County,Puli Township,886-939-136008,,A15010000H,,,,,,,,120.975809,23.962861,4,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,5,4800,6800,0,,12,0,0,0,0
E4_A15010000H_000022,You come to Hualien Homestay,你來花蓮民宿,Homestay located in Hualien,,"No.14, Minle 3rd St., Hualien City, Hualien County 970, Taiwan (R.O.C.)",970,Hualien County,Hualien City,886-933-799499,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/281984.jpeg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/281983.jpeg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/281986.jpeg?v=20250510,,121.629948,23.990617,4,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,3,4800,4800,0,changcheng0914@gmail.com,12,0,0,0,0
E4_A15010000H_000023,He&#39;An Kafei Homestay,河岸咖啡民宿,Bed and Breakfast in Yunlin County,,"No.86-12, Huashan, Gukeng Township, Yunlin County 646, Taiwan (R.O.C.)",646,Yunlin County,Gukeng Township,886-5-5900212,,A15010000H,,,,,,,,120.585905,23.597586,4,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,5,2200,2400,0,,14,0,,,0
E4_A15010000H_000026,Chulu ecological farm B&B,初鹿生態農莊民宿,"This B&B located in Chulu Village, Taitung County, has barbecue facilities. It is 15 kilometers from Taitung and 10 kilometers from Beinan Ruins. WiFi is available throughout the property (free) and private parking is available on site.All room types have private bathrooms, air conditioning, flat-screen TVs and ovens. A toaster and coffee machine are also provided.Chulu Ecological Farm B&B is 12 kilometers from Taitung Main Station and 12 kilometers from Kangle Train Station. The nearest airport is Taitung Airport, 13 km from the property.",,"No.6, Aly. 12, Ln. 103, Chulu 2nd St., Beinan Township, Taitung County 954, Taiwan (R.O.C.)",954,Taitung County,Beinan Township,886-89-571547,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/288865.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/288864.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/288863.jpg?v=20250510,,121.088294,22.85837,4,,,"restaurant,cafe',Wi-Fi,National travel card,parking lot,Assessible room,free self-service laundry,,,,",Parking Space:Car 0、Motorcycle 0、Truck 0,3,6000,6000,0,z324693@gmail.com,13,0,0,0,0
E4_A15010000H_000028,Katherine Plaza Hotel,凱莎琳庭園大飯店,Hotel located in Kaohsiung City,,"No.145, Wenwu 3rd St., Qianjin Dist., Kaohsiung City 801, Taiwan (R.O.C.)",801,Kaohsiung City,Qianjin District,886-7-2152158,886-7-2512326,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/12603.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/14921.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/41144.jpg?v=20250510,,120.298378,22.620562,3,,,,Parking Space:Car 0、Motorcycle 0、Truck 0,48,2700,4100,0,kp_hotel@yahoo.com.tw,128,0,,,0
E4_A15010000H_000032,Nan Guo Hai'An Du Jia Tese Homestay (Tese Homestay),南國海岸渡假特色民宿,Bed and Breakfast in Pingtung County,,"No.8, Duzaiping Rd., Liuqiu Township, Pingtung County 929, Taiwan (R.O.C.)",929,Pingtung County,Liuqiu Township,886-8-8613830,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/45462.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/38873.jpg?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/7973.jpg?v=20250510,,120.363861,22.342554,4,,,"Wi-Fi,National travel card,,,,guided tou,,",Parking Space:Car 0、Motorcycle 0、Truck 0,8,5600,10400,0,ert8281112@gmail.com,30,0,,,0
E4_A15010000H_000034,Trip GG Hostel,旅聚居青年旅舍,Hotel located in Kaohsiung City,,"6F., No.117, Zhongshan 1st Rd., Xinxing Dist., Kaohsiung City 800, Taiwan (R.O.C.)",800,Kaohsiung City,Xinxing District,886-7-2851231,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/256842.JPG?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/256843.JPG?v=20250510,,https://taiwan.taiwanstay.net.tw/twpic/256844.JPG?v=20250510,,120.301237,22.631603,3,,,"Wi-Fi,coin-operated laundry,free internet,,,,",Parking Space:Car 0、Motorcycle 0、Truck 0,12,3500,6000,0,tripggkh@gmail.com,60,0,,,0
