唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間
Hotel_A15010000H_000008,Hotel,Zh_tw,思源居民宿,位於南投縣的民宿,(049)2927101,,南投縣,埔里鎮,水頭里水頭路1號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000015,Hotel,Zh_tw,凱旋新宿商旅,位於臺東市中心的商旅，鄰近鐵花村與台東市中心商圈，備有平面停車場（步行約3分鐘)，是來台東遊玩及出差的好選擇,(089)311777,,臺東縣,臺東市,復興里福建路243號1-5樓,A15010000H,交通部觀光署,2025/2/27 上午 10:48:30
Hotel_A15010000H_000018,Hotel,Zh_tw,觀關嚮戶民宿,位於臺東縣的民宿,0988627798,,臺東縣,關山鎮,豐泉里3鄰八德路28號,A15010000H,交通部觀光署,2025/3/1 下午 12:59:41
Hotel_A15010000H_000019,Hotel,Zh_tw,克卜勒民宿,"整棟灰白、混凝土粉光的簡樸設計兩層樓建築

客房內也是乾淨俐落的灰白牆面

房內IKEA 家具的簡樸素雅風格

加上落地窗外中央山脈的四季美景

就是美麗的一幅畫

希望能將這自然簡單的美好生活

讓來到克卜勒民宿的旅人

感到自在輕鬆、並悠遊其中",(089)551891,,臺東縣,鹿野鄉,龍田村3鄰龍三路112巷20號,A15010000H,交通部觀光署,2025/2/27 上午 09:47:18
Hotel_A15010000H_000020,Hotel,Zh_tw,柴柴屋,"宜蘭~柴柴屋民宿, 位於羅東交流道下五分鐘處 我們來自北部，生活庸碌的感受 嚮往自然的主人_柯柯 & 峮峮 很久很久以前~就想來宜蘭了 。終於2014起~鼓起不怕輸的勇氣與自由... 2014起勇敢地踏上追夢的路上, 邀請你們一同生活玩樂在宜蘭 2015/2月新建的B&B 以簡約清新的方式讓您感受宜蘭氛圍。歡迎預約住宿，專線0922712730 (峮小姐)",(03)9507195,,宜蘭縣,五結鄉,五結中路二段559巷5號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000021,Hotel,Zh_tw,蒂爾堡會館,位於南投縣的民宿,0939136008,,南投縣,埔里鎮,枇杷里38鄰青田一街55號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000022,Hotel,Zh_tw,你來花蓮民宿,位於花蓮縣的民宿,0933799499,,花蓮縣,花蓮市,民樂里民樂三街14號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000023,Hotel,Zh_tw,河岸咖啡民宿,位於雲林縣的民宿,(05)5900212,,雲林縣,古坑鄉,華山村華山86-12號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000026,Hotel,Zh_tw,初鹿生態農莊民宿,"位於臺東縣初鹿村的民宿，設有烤肉設備，距離 臺東是15 公里，距離卑南遺址 10 公里。住宿全館提供 WiFi（免費）和館內提供私人停車位。

所有房型均有私人衛浴、空調、平面電視和烤箱。住宿也提供烤吐司機和咖啡機。

初鹿生態農莊民宿 距離 臺東車站 12 公里，距離康樂火車站 12 公里。最近的機場是台東機場，距離這間住宿 13 公里。",(089)571547,,臺東縣,卑南鄉,初鹿村17鄰初鹿二街103巷12弄6號,A15010000H,交通部觀光署,2025/3/3 下午 04:47:41
Hotel_A15010000H_000028,Hotel,Zh_tw,凱莎琳庭園大飯店,位於高雄市的旅館,(07)2152158,,高雄市,前金區,文武三街145號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000032,Hotel,Zh_tw,南國海岸渡假特色民宿,位於屏東縣的民宿,(08)8613830,,屏東縣,琉球鄉,肚仔坪路8號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000034,Hotel,Zh_tw,旅聚居青年旅舍,位於高雄市的旅館,(07)2851231,,高雄市,新興區,中山一路117號6樓,A15010000H,交通部觀光署,2025/3/3 下午 02:05:20
Hotel_A15010000H_000037,Hotel,Zh_tw,泰雅皇宮,泰雅渡假村位於台灣南投縣國姓鄉，是以台灣少數民族-泰雅族文化為經營主軸，園區內擁有許多象徵泰雅族文化特色及早期部落的建築提供遊客參觀，還有精彩的少數民族舞蹈表演。除了泰雅文化特色之外，更結合遊憩、住宿、溫泉、生態、露營、烤肉等，因此擁有全方位渡假遊樂區的美稱。,(049)2461311,,南投縣,仁愛鄉,互助村清風路81號,A15010000H,交通部觀光署,2025/3/6 下午 05:30:19
Hotel_A15010000H_000039,Hotel,Zh_tw,柯林綠溪地生態農莊,位於宜蘭縣的民宿,0965068058,,宜蘭縣,冬山鄉,安農八路58號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000040,Hotel,Zh_tw,瑞穗風情民宿,位於花蓮縣的民宿,0975131312,,花蓮縣,瑞穗鄉,瑞美村中興路61之1號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000044,Hotel,Zh_tw,小巷窄,位於臺南市的民宿,0913510830,,臺南市,中西區,三合里忠孝街98巷8號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000045,Hotel,Zh_tw,洛碁大飯店忠孝館,"台北，國際交流的重要驛站，沈澱了各種文化基因，充滿了自由人文氣息，像是手上的咖啡，醇厚的令人嚮往。
洛碁大飯店，第一個在台北市創立的大型連鎖飯店品牌，在捷運旁、熱鬧的西門町、台北車站、金融商圈等地，都能找到洛碁大飯店。堅持以平實的價格、多元的選擇及貼心的服務，提供每位旅客充電與休憩的地方，不論是您有意的安排或者偶然的巧遇，我們都期待您的來訪，一起在這美麗而多變的土地寫下屬於您的台北故事。
",(02)27116869,,臺北市,大安區,忠孝東路四段180號1樓、4樓至14樓,A15010000H,交通部觀光署,2025/3/10 下午 02:53:05
Hotel_A15010000H_000046,Hotel,Zh_tw,瑚岩美術館民宿,位於屏東縣的民宿,(08)8611092,,屏東縣,琉球鄉,中山路23號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000047,Hotel,Zh_tw,得恩谷の民宿,高雄市合法民宿｜石板屋｜茂林部落｜生態｜魯凱族｜紫斑蝶｜,0989370885,,高雄市,茂林區,茂林里6鄰138號,A15010000H,交通部觀光署,2025/3/11 下午 02:24:20
Hotel_A15010000H_000050,Hotel,Zh_tw,奇巧民宿,位於花蓮縣的民宿,(03)8821106,,花蓮縣,富里鄉,竹田村富田39-3號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000051,Hotel,Zh_tw,朝昔廬客棧民宿,"客棧主人本著對先人運用真材實料，以及融入老師傅心血和感情一刀一斧，純手工製作器物的著迷與熱愛於2007年7月12日創立 [朝昔廬]。
朝昔廬古玩真藏不盡，與王口元廟厝述說無窮，就是本店朝昔廬的詮釋。朝昔加部首就是[廟厝]，因本店內外獨特的視覺空間都是運用古廟及古厝遺留下來的器物裝置而成，把先人遺留的寶貴文化資產透過巧思的營造，讓他的生命再延續，更融入生活裡面。人文飲食更具承襲澎湖人海風的堅持，料理出一道道令人懷念的滋味。而行腳住宿位於澎湖本島的中心點。靠近海邊潮間帶，房間寬敞舒適延伸寬大的露臺，180渡海景映入眼簾，讓人美不勝收。
",(06)9210750,,澎湖縣,馬公市,安宅里宅腳嶼200號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000052,Hotel,Zh_tw,三和大旅社,位於彰化縣的旅館,(04)7228221,,彰化縣,彰化市,永興街96巷31號,A15010000H,交通部觀光署,2025/3/19 下午 04:30:44
Hotel_A15010000H_000054,Hotel,Zh_tw,富泉大飯店,位於宜蘭縣的礁溪溫泉旅館，在台九線上，距離火車站及客運站都很近，交通方便。至湯圍溝公園.  逛街.  用餐都很方便。有停車場，因車位有限，採先到先停，停滿為止，無預約保留。可攜帶寵物入住，一隻酌收300元清潔費(限定樓層)。,0914033392,,宜蘭縣,礁溪鄉,礁溪路五段93號1-4樓,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000055,Hotel,Zh_tw,風歌小棧民宿,位於南投縣的民宿,(049)2981098,,南投縣,埔里鎮,牛眠里2鄰內埔路27號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000057,Hotel,Zh_tw,稻香亭民宿,位於南投縣的民宿,(049)2896915,,南投縣,魚池鄉,大林村金天巷11號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
Hotel_A15010000H_000058,Hotel,Zh_tw,迪噢叢林旅宿,迪噢叢林旅宿 The Jungle House ,0988576662,,屏東縣,恆春鎮,龍泉路3巷10號,A15010000H,交通部觀光署,2025/2/17 下午 05:00:27
