唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間
Attraction_345040000G_000001,Attraction,Zh_tw,太平山國家森林遊樂區,"蹦蹦車、溫泉、高山湖泊、巨木森林與國寶山毛櫸，鋪成了太平山國家森林遊樂區超過百年歷史的綿長軌跡。

太平山舊稱「眠腦」，是泰雅族語「鬱鬱蒼蒼」之意。1914年，日本人先做了資源調查，1915年決議開發。《台灣日日新報》在1936年7月28日報導：「太平山之名乃由現在事務所轉移前，當時主任技師中里氏，將蕃語直譯者。且佐久間總督五年討伐告終，天下歸於太平之意」。所以，「天下太平」才是太平山地名真正的由來，命名者正是踏查先鋒中里正。

海拔2000公尺的太平山，是僅次於阿里山的林業傳奇，1915年日本人開始這裡的伐木事業，後來由國民政府接手，成為台灣最大的林場，最後在1983年轉型為遊樂區，留下見晴鐵道、蹦蹦車等珍貴的遺跡。

人們可以漫步在鎮安宮後的原始林間，讓思緒翱翔在過往巨木滿山的年代。沿著時常遇見台灣獼猴、帝雉等動物的翠峰景觀道路行駛，終點是台灣面積最大高山湖泊，海拔1840公尺的翠峰湖，對岸是國寶台灣山毛櫸的家，秋天可以沿著4公里的步道欣賞滿山金黃耀眼。

收費站不遠處的鳩之澤溫泉，是聞名遐邇的碳酸泉，也是這裏的一大特色。太平山國家森林遊樂區，絕對是喜歡大自然的您，拜訪宜蘭的第一選擇。",(03)9809805,,宜蘭縣,大同鄉,太平巷58之1號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000002,Attraction,Zh_tw,滿月圓國家森林遊樂區,"在三峽大豹溪的上游，一條叫做蚋子溪的支流上，座落著一個擁有瀑布、生態與楓紅的美麗小天地：滿月圓國家森林遊樂區。

距離三峽市區約40分鐘的滿月圓國家森林遊樂區，海拔在300至1700公尺之間，終年潮濕涼爽，孕育了豐富的蕨類生態，連對環境要求高的「團扇蕨」都可以找到。過去這裡曾有小規模的伐木，今日整齊的人造林見證了那段歲月。

這裡有豐富的鳥類、兩棲類及蝴蝶生態，像是少見的白喉笑鶇、赤腹山雀等，都是滿月圓重要的鳥明星喔！而每年12月左右，這裏的楓紅也美得動人，有「台灣最美低海拔楓紅」的美譽。

位於健行步道盡頭的滿月圓瀑布與處女瀑布，也是遊樂區的兩大美景，從滿月小橋上望去，只見一垂高十餘公尺之大石壁遮掩滿月圓瀑布上端，瀑布直沖而下，聲勢極為壯麗，處女瀑布則較為溫柔婉約，在陽光普照之日，光影在水瀑間折射變化，時常可見瀑布有著虹彩般的絢麗。",(02)26720004,,新北市,三峽區,有木里174-1號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000003,Attraction,Zh_tw,內洞國家森林遊樂區,"瀑聲隆隆，依山傍水的蕨類樂園，小巧精緻的內洞國家森林遊樂區，是南勢溪上游一個享受寧靜與綠意的好所在。

距新店約50分鐘，內洞可說是大台北地區交通最方便的國家森林遊樂區，海拔在230~800公尺之間，被內洞溪流貫，潮濕而溫暖，是名副其實的蕨類樂園：光觀瀑步道的短短數百公尺，就能發現將近65種蕨類，包括稀有的垂枝馬尾杉與藤蕨等，都是大樹身上附生的嬌客。而這裡舊稱「娃娃谷」，相傳是因為蛙類眾多，在夜裡暢鳴的聲響迴盪山谷而得，步道旁的水溝就有機會見到青蛙的身影喔！

內洞瀑布是遊樂區的主角，在觀瀑步道終點，有著二層不同的風貌帶給遊人們多元享受，與暢快的負離子芬芳。炎炎夏日，不妨從悶熱的都市出走，到內洞國家森林遊樂區享受一個清涼的午後森林浴吧！",(02)26617358,,新北市,烏來區,信賢里娃娃谷46號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000004,Attraction,Zh_tw,東眼山國家森林遊樂區,"距離大溪約1小時車程的東眼山國家森林遊樂區，過去曾是林業保育署(舊稱林務局)的伐木林班，留下了許多林業遺跡，如集材機、索道、台車等，隱身在知性步道旁。現今漫步在雲霧繚繞、整齊美麗的柳杉林間，拾級而上登頂海拔1,212公尺的東眼山一覽桃園到大台北的景緻。
東眼山林道旁座落著一塊造林紀念石，見證著台灣林業的過去。

東眼山豐富的生態，擁有約43種山鳥，以及為數眾多的哺乳動物，連中高海拔才有的白面鼯鼠都可以在這裡看見。春季賞櫻、夏季白天蟬和夜間各種青蛙比大聲，秋季東眼山林道染上濃濃的秋愁，最特別的是，有不少台灣野兔住在這裡，漫步林間時，別忘了注意您的腳邊唷！

而位於東眼山林道旁的化石區，擁有千萬年歷史的化石與地景，伴隨生痕化石、沉積地質等沿途漫步至東滿步道入口，十分愜意。有機會到大溪一遊，不妨也安排到東眼山國家森林遊樂區，來趟洗滌心神的森林之旅吧！",(03)3821506,,桃園市,復興區,霞雲里成福路600號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000005,Attraction,Zh_tw,觀霧國家森林遊樂區,"在滿山的迷霧之中擁抱神木、春天欣賞全台最大霧社山櫻花的一樹雪白、登高一覽雪山山脈「聖稜線」的英姿、還可能巧遇國寶，這裡是觀霧國家森林遊樂區，在竹苗交界帶給人們最豐盛的霧林帶饗宴。

距離竹東2小時的觀霧，泰雅族語是「茂義利」，意思是「更高的山嶺」。這裡在1940年成為伐木林場，1980年才結束營業，留下了滿山整齊的人造林；而檜山巨木群步道上五株壯碩的紅檜巨木，則對著遊人們訴說昔日台灣森林的壯美。

觀霧的野生動物很有看頭，除了漫步林道的帝雉與山羌外，最特別的是全世界獨一無二的棣慕華鳳仙花，以及兩種台灣特有種國寶：寬尾鳳蝶與以「觀霧」為名的觀霧山椒魚。

園區聯外道路大鹿林道在此分叉，東線是往大霸尖山的路，而西線則可通往園區最高的榛山，帶領人們享受雪山山脈聖稜線所勾勒出的動人景緻。",(03)5224163,,苗栗縣,泰安鄉,梅園村8鄰觀霧1-3號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000006,Attraction,Zh_tw,拉拉山國家森林遊樂區,"拉拉山國家森林遊樂區(以下簡稱本區)位於桃園市復興區北橫上巴陵一帶，此地的泰雅族上巴陵部落，其名「Balung」正是「檜木」或「巨大的倒木」之意；而「拉拉」為泰雅族語「R’ra」音譯，有「美麗的」、「讚嘆的」、「眺望、守望」等意，一說係指本區為族人眺望獵物、防禦外敵之處所，亦有族人來到此地感到讚嘆、美好之意，皆足以顯現本區具有豐富的檜木與生態資源。

全世界檜木分布只有在北美、日本及臺灣的雲霧帶才會有，因此，拉拉山的檜木森林是很珍貴的。本區位於霧林帶，植群分類屬原始針、闊葉混合林，完整保育千百年自然環境造就的珍貴檜木巨木群；亦為臺灣藍鵲、黃腹琉璃、臺灣野山羊等野生動植物重要棲息環境，係北部中海拔山區極具代表性之森林生態系，具有豐富之自然及人文特色。",(03)3912142,,桃園市,復興區,華陵里13鄰巴崚205號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000008,Attraction,Zh_tw,八仙山國家森林遊樂區,"走過繁華喧囂的林業時光，如今的八仙山國家森林遊樂區具有景色多樣化的輕裝短途步道，能尋訪美麗的十文溪、櫻花林、油桐林與竹林，更能循階登頂谷關七雄之首：海拔2366公尺的八仙山。

	「八仙山」是日本名字，因為八仙山有「八千」日尺高，取其諧音「八仙」命名。1915年起，直到1963年，八仙山長達48年輝煌的林業時光，留下了滿山整齊的人造林與索道頭、神社和國小遺址，訴說著林業的故事。至於曾有過的森林鐵道，也在結束伐木後全數拆除，僅剩園區內的老照片供人憑弔了。

除了史蹟尋訪外，這裡有非常豐富的鳥類生態，青背山雀、赤腹山雀等都是常見的小明星。距離台中市區不遠的八仙山國家森林遊樂區，是個適合一家老小單日踏青，或留宿一宿享受山林之夜的好選擇唷！",(04)25951214,,臺中市,和平區,東關路一段200之8號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000009,Attraction,Zh_tw,大雪山國家森林遊樂區,"秋天的紅榨槭楓紅、夏夜的星空、向晚的雲海、穿梭林道間的山羌、帝雉與大台中唯一親民的紅檜巨木-雪山神木，是大雪山國家森林遊樂區最迷人的印象。

這裡曾是民國47年開採的大雪山林場，繁榮了東勢與豐原，如今這個距離東勢只消1小時的山城成為了森林遊樂區，繼續為中部的人們帶來屬於自然的恩惠。此地海拔超過2000公尺，氣候涼爽，目前僅存小神木步道與木馬道一帶保有原始的扁柏巨木林，是遊樂區最美的景色之一；而位於遊樂區最深處，高50公尺的雪山神木則曾是台灣第11大巨木呢！

野生動物更是大雪山最大的寶藏：山羌、長鬃山羊與白面鼯鼠熱鬧了黑夜，而白天則有帝雉、藍腹鷴與冠羽畫眉等一干山鳥雀躍跳耀；漫步林間享受森林浴的舒心之餘，也很容易跟這些小明星們不期而遇喔！",(04)25877901,,臺中市,和平區,雪山路18號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000010,Attraction,Zh_tw,合歡山國家森林遊樂區,"說到雪與高山，「合歡山」肯定是台灣人的首選了，這也正是合歡山國家森林遊樂區最獨一無二的景緻。

合歡山國家森林遊樂區是台灣第一座國家森林遊樂區——早在1963年，因為特殊的景色與高山生態系而得此殊榮，在這裡你可以看見廣大的玉山箭竹草原、體驗整整低平地18度C的凜冽氣溫、輕鬆登臨園區內三座百岳名山：合歡主峰、合歡東峰與石門山，並住宿松雪樓享受夜裡華麗的壯闊星海。這裡也有許多高海拔限定的鳥兒：岩鷚、酒紅朱雀、火冠戴菊…等著你來拜訪喔！

雪景是合歡山的一大特色，冬季皚皚白雪是亞熱帶台灣最讓人心醉的夢幻景象，而每年五月，清麗動人的玉山杜鵑花海，將翠綠的山頭綴的紅白交錯，好像又降下瑞雪一般，令人驚艷，演繹著四季都精彩的合歡山國家森林遊樂區。",(049)2802980,,花蓮縣,秀林鄉,關原65號,345040000G,林業保育署,2025/3/29 上午 12:20:05
Attraction_345040000G_000011,Attraction,Zh_tw,奧萬大國家森林遊樂區,"滿山金黃的楓紅、壯觀的吊橋與野生動物環繞，奧萬大國家森林遊樂區是一座充滿魅力的森林。

距離埔里車程1個多小時，位於萬大水庫後方，這裡原為泰雅族及賽德克族部落，日本時代開始進行水力發電建設，在1994年才成為國家森林遊樂區。

奧萬大海拔在1100~2600公尺之間，生態豐富，原生櫸木、青剛櫟、霧社櫻、松林景觀等，有橿鳥、台灣藍鵲等120種鳥類棲息其中；5月起黑翅螢悄悄登場，台灣長臂金龜與為數不少的蝴蝶也很有看頭。

賞楓步道上大片的原生楓香林與遊客中心周遭的落羽松、青楓等，每逢秋季必將園區點綴得萬紫千紅，是奧萬大最熱鬧的季節，但春天櫻花的美其實也不遑多讓。而壯觀的「奧萬大吊橋」連接著美麗的松林區，長180公尺，高90公尺，可以眺望萬大南北溪交匯，也是拜訪奧萬大必遊的景點喔！",(049)2974511,,南投縣,仁愛鄉,親愛村大安路153號,345040000G,林業保育署,2025/3/29 上午 12:20:05
